 1  1  1  1   0.97029261169065
 1  1  1  2   0.00000000000000
 1  1  1  3   0.00000000000000
 1  1  1  4   0.00000000000000
 1  1  1  5   0.00000000000000
 1  1  1  6   0.00000000000000
 1  1  1  7   0.00000000000000
 1  1  1  8   0.01095308811955
 1  1  1  9   0.01095308811955
 1  1  1  10   0.01095308811955
 1  1  1  11   0.00000000000000
 1  1  1  12   0.00000000000000
 1  1  1  13   0.00000000000000
 1  1  1  14   0.00000000000000
 1  1  1  15   0.00000000000000
 1  1  1  16   0.00000000000000
 1  1  1  17   0.00000000000000
 1  1  1  18   0.00000000000000
 1  1  1  19   0.00000000000000
 1  1  1  20   0.00000000000000
 1  1  1  21   0.00000000000000
 1  1  1  22   0.00000000000000
 1  1  1  23   0.00000000000000
 1  1  1  24   0.00018220117871
 1  1  1  25   0.00018220117871
 1  1  1  26   0.00018220117871
 1  1  2  2   0.86720873777148
 1  1  2  3   0.00000000000000
 1  1  2  4   0.00000000000000
 1  1  2  5   0.00000000000000
 1  1  2  6   0.00000000000000
 1  1  2  7   0.00000000000000
 1  1  2  8   0.00000000000000
 1  1  2  9   0.00000000000000
 1  1  2  10   0.00000000000000
 1  1  2  11   0.00000000000000
 1  1  2  12   0.00000000000000
 1  1  2  13   0.00958305891895
 1  1  2  14   0.00000000000000
 1  1  2  15   0.00000000000000
 1  1  2  16   0.00958305891895
 1  1  2  17   0.00000000000000
 1  1  2  18   0.00000000000000
 1  1  2  19   0.00000000000000
 1  1  2  20   0.00000000000000
 1  1  2  21   0.00504634592922
 1  1  2  22   0.00000000000000
 1  1  2  23   0.00000000000000
 1  1  2  24   0.00000000000000
 1  1  2  25   0.00000000000000
 1  1  2  26   0.00000000000000
 1  1  3  3   0.86720873777148
 1  1  3  4   0.00000000000000
 1  1  3  5   0.00000000000000
 1  1  3  6   0.00000000000000
 1  1  3  7   0.00000000000000
 1  1  3  8   0.00000000000000
 1  1  3  9   0.00000000000000
 1  1  3  10   0.00000000000000
 1  1  3  11   0.00000000000000
 1  1  3  12   0.00958305891895
 1  1  3  13   0.00000000000000
 1  1  3  14   0.00000000000000
 1  1  3  15   0.00000000000000
 1  1  3  16   0.00000000000000
 1  1  3  17   0.00958305891895
 1  1  3  18   0.00000000000000
 1  1  3  19   0.00000000000000
 1  1  3  20   0.00000000000000
 1  1  3  21   0.00000000000000
 1  1  3  22   0.00504634592922
 1  1  3  23   0.00000000000000
 1  1  3  24   0.00000000000000
 1  1  3  25   0.00000000000000
 1  1  3  26   0.00000000000000
 1  1  4  4   0.86720873777148
 1  1  4  5   0.00000000000000
 1  1  4  6   0.00000000000000
 1  1  4  7   0.00000000000000
 1  1  4  8   0.00000000000000
 1  1  4  9   0.00000000000000
 1  1  4  10   0.00000000000000
 1  1  4  11   0.00000000000000
 1  1  4  12   0.00000000000000
 1  1  4  13   0.00000000000000
 1  1  4  14   0.00958305891895
 1  1  4  15   0.00958305891895
 1  1  4  16   0.00000000000000
 1  1  4  17   0.00000000000000
 1  1  4  18   0.00000000000000
 1  1  4  19   0.00000000000000
 1  1  4  20   0.00000000000000
 1  1  4  21   0.00000000000000
